dict-idx,long-text,short-text,WD-PID,phrase11,phrase12,phrase13,phrase21,phrase22,phrase23,sample1,sample2,sample3
184,/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,participating teams,P1923,P710 /base/marchmadness/ncaa_tournament_seed/team,P710 /base/marchmadness/ncaa_tournament_seed/team,P710 /base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,tournament seed team,seeded in,NCAA tournament seed team.,"[""2002 NCAA Division I men's basketball tournament"", ""UCLA Bruins men's basketball""]","[""1988 NCAA Division I men's basketball tournament"", ""Arizona Wildcats men's basketball""]","[""1992 NCAA Division I men's basketball tournament"", ""Syracuse Orange men's basketball""]"
185,/education/field_of_study/students_majoring./education/education/major_field_of_study,studied in,P2579,P921,P921,P2790,/studying/subjects.,/students_majoring./major_field_of_study,students majoring in.,"['psychology', 'economics']","['chemistry', 'geology']","['law', 'human rights']"
186,/people/person/nationality,country of citizenship,P27,country of citizenship,instance of (P31),country of citizenship,Nationality is United States of America for all listed individuals.,nationality is Republic of Ireland,nationality is United States of America for Edgar Allan Poe,"['Richard Thorpe', 'United States of America']","['John Riggi', 'United States of America']","['Michael Pitt', 'United States of America']"
187,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,distribution medium,,/film/film/distribution_medium,distributionMedium,distributionMedium,DVD distribution,is released as DVD.,film_release_distribution_medium,"['Never Say Never Again', 'DVD']","['Midnight in Paris', 'DVD']","['Ghostbusters', 'DVD']"
188,/film/film/film_format,film format,,filmFormat,filmFormatOf,filmFormat,"film_format is 35 mm film for Red Cliff, Mildred Pierce, Iron Sky, Pirate Radio, Election, Days of Heaven, and Heat. film_format is Super 35 for I, Robot and Hotel Rwanda.","film_format: Super 35, 35 mm film",film_format is 35 mm film,"['I, Robot', 'Super 35']","['Red Cliff', '35 mm film']","['Mildred Pierce', '35 mm film']"
189,/soccer/football_player/current_team./sports/sports_team_roster/team,current member of sports team,P54,current team of,P54,/soccer/player/currentTeam,current_team of soccer/football_player in sports_team_roster.,plays for team,current team.,"['Alou Diarra', 'Olympique de Marseille']","['Marc Joseph', 'Peterborough United F.C.']","['Chris Wood', 'New Zealand national football team']"
190,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,parliamentary term,P2937,legislative_sessions,legislative_session,legislative_sessions,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,/government/politician/legislative_sessions,/government/politician/legislative_sessions,"['Ron Paul', '110th United States Congress']","['Daniel Inouye', '96th United States Congress']","['Robert Byrd', '96th United States Congress']"
191,/film/film/cinematography,cinematography,,P3448,P1040,filmCinematography,Cinematography by.,/cinematography Directed By,/film/film/cinematography - cinematography by (name of cinematographer),"['L.A. Confidential', 'Dante Spinotti']","['Jurassic Park', 'Dean Cundey']","['Gone with the Wind', 'Ernest Haller']"
192,/people/deceased_person/place_of_burial,place of burial,P119,placeOfBurial,/place/burial_place,place_of_burial,burial location,/place_of_burial,(place_of_burial),"['Richard Thorpe', 'Pacific Ocean']","['William H. Daniels', 'Forest Lawn Memorial Park']","['Harold Pinter', 'Kensal Green Cemetery']"
193,/base/aareas/schema/administrative_area/administrative_parent,location,P131,has administrative parent,instance of (P31),instance of (P31),is part of,is a administrative area within,is part of,"['Albania', 'Earth']","['Autonomous Republic of Crimea', 'Ukraine']","['North Rhine-Westphalia', 'Germany']"
194,/music/genre/parent_genre,subgenre of,P279,instance of,instance of,hasParentGenre,parent genre of soul jazz is hard bop,is a subgenre of,(parent genre),"['soul jazz', 'hard bop']","['folktronica', 'folk rock']","['quiet storm', 'contemporary R&B']"
195,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,draft pick includes ,,/sports/sports_league_draft_pick/school,/sports/drafted_from_school,/sports/drafted_from,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,/sports/sports_league_draft_pick/school,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,"['2005 Major League Baseball draft', 'California State University, Long Beach']","['2007 NBA draft', 'University of North Carolina at Chapel Hill']","['2004 NFL Draft', 'Western Michigan University']"
196,/location/statistical_region/religions./location/religion_percentage/religion,religion,P140,/location/religion_percentage/religion,/religionPercentage,religionPercentage,religion_percentage/religion,Religion percentage in a statistical region.,religion_percentage/religion,"['Germany', 'Catholicism']","['New Zealand', 'New Age']","['Virginia', 'Churches of Christ']"
197,/location/location/time_zones,located in time zone,P421,P421: time zone in location,P5859,P625,timezone of Worcester is Eastern Time Zone,time zone of corresponds to.,/time_zones in Eastern Time Zone,"['Worcester', 'Eastern Time Zone']","['Leipzig', 'Central European Time']","['New Brunswick', 'Eastern Time Zone']"
198,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,participated in,P710_inv,/olympics/olympic_participating_country/medals_won/olympics,OlympicMedalHonor,P31/P166/P1441,olympic medal honor,/olympics/olympic_participating_country/medals_won,Olympic participating country medals won Olympic medal honor Olympics,"['Norway', '2002 Winter Olympics']","['Italy', '1960 Winter Olympics']","['South Africa', '1996 Summer Olympics']"
199,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,distributor of,P750_inv,distributor_films_distributed,distributedBy,P2298,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,films distributed.,film distributor films distributed,"['20th Century Studios', 'Hello, Dolly!']","['Paramount Pictures', 'Coach Carter']","['Focus Features', 'Taking Woodstock']"
200,/film/film/dubbing_performances./film/dubbing_performance/actor,voice actor,P725,dubbingActor,dubbing_performed_by,/film/dubbing_actor,/film/film/dubbing_performances./film/dubbing_performance/actor,/film/film/dubbing_performances./film/dubbing_performance/actor,film dubbing performance actor,"['Porco Rosso', 'Dee Bradley Baker']","['Ponyo', 'Mona Marshall']","['Naruto the Movie: Legend of the Stone of Gelel', 'Steve Blum']"
201,/organization/organization/headquarters./location/mailing_address/citytown,headquarters citytown,P159,locatedInCityTown,/located_in,headquartersCityTown,Headquarters city/town.,/organization/organization/headquarters./location/mailing_address/citytown,/headquarters./location/mailing_address/citytown,"['MIT Sloan School of Management', 'Cambridge']","['Toronto Metropolitan University', 'Toronto']","['History', 'New York City']"
202,/sports/pro_athlete/teams./sports/sports_team_roster/team,member of sports team,P54,P54,teamContractedAthlete,wdt:P54,Plays for team,(sports team's roster),plays for team,"['Stephen Jackson', 'Brooklyn Nets']","['Taiwo Atieno', 'Stevenage F.C.']","['Gary Sheffield', 'Los Angeles Dodgers']"
203,/education/university/local_tuition./measurement_unit/dated_money_value/currency,local tuition currency,P38,P2964,P2139,P2998,/local_tuition./measurement_unit/dated_money_value/currency,local tuition measured in United States dollar,/local_tuition./measurement_unit/dated_money_value/currency,"['Virginia Union University', 'United States dollar']","['Washington & Jefferson College', 'United States dollar']","['University of Colorado Boulder', 'United States dollar']"
204,/music/record_label/artist,artist signed to this record label,P264,artistLabel,music/record_label/artist,artistRecordLabel,(artist is signed to record label),Artist associated with record label.,Record label artist.,"['Bad Boy Records', 'Lil Jon']","['Warner Records Inc.', 'Prince']","['Vanguard Records', 'Linda Ronstadt']"
205,/business/job_title/people_with_this_title./business/employment_tenure/company,companies with this job,,P725,/work/job_title/company,/pers/job_title/company,employment_tenure_company,employment_tenure.,work for,"['head coach', 'FC Bayern Munich']","['president', 'Morgan Stanley']","['vice president', 'Gannett']"
206,/music/instrument/family,subclass of,P279,instance of musical instrument family (P1308),subclass of,instance of musical instrument family,belongs to the percussion instrument family,instrument family of electronic keyboard,Instrument belongs to a family.,"['bongo drum', 'percussion instrument']","['guitar', 'plucked string instrument']","['melodica', 'woodwind instrument']"
207,/user/alexander/philosophy/philosopher/interests,field of work,P101,interests in,interests in,hasInterestIn,Interests in various philosophical fields,philosopher interests in epistemology,interests in logic,"['Leo Strauss', 'politics']","['Richard Rorty', 'philosophy of mind']","['Immanuel Kant', 'epistemology']"
208,/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,gdp real currency,P38,gdpRealAdjustedCurrency,P2131,P2130,"/	location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency",adjusted in United States dollar,adjusted_currency is United States dollar,"['Turkmenistan', 'United States dollar']","['Zambia', 'United States dollar']","['Cyprus', 'United States dollar']"
209,/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,notable people of this tv appearance  ,,P1545,P793:tv_regular_personal_appearance_person,/tv/personal_appearance/person,regular appearances by person in TV show,tv regular personal appearances person.,regular personal appearances on TV.,"['contestant', ""Lil' Kim""]","['contestant', 'Nicole Scherzinger']","['contestant', 'Buzz Aldrin']"
210,/location/hud_county_place/county,county seat of,,P131,countyLocatedIn,Located_in_county,county location in ___,county of,county of,"['Tempe', 'Maricopa County']","['Decatur', 'DeKalb County']","['Ocala', 'Marion County']"
211,/government/politician/government_positions_held./government/government_position_held/basic_title,government position held,P39,P39,officialTitle,governmentPositionHeld:basicTitle,"(George Washington, basic_title, president)",/government/government_position_held/basic_title,/president,"['Winston Churchill', 'member of parliament']","['James Monroe', 'secretary of state']","['William Howard Taft', 'governor']"
212,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,phone contact category,,phoneCategory,contact category,phoneContactCategory,phone number contact category,contact category,phone number contact category,"['Elsevier BV', 'sales']","['Ubisoft', 'technical support']","['Electronic Arts', 'customer service']"
213,/people/person/religion,religion or worldview,P140,religion,religion,religion,"(person, follows religion)",/people/person/religion,/people/person/religion - follows religion,"['Taylor Lautner', 'Catholicism']","['Grover Cleveland', 'Presbyterianism']","['Liza Minnelli', 'Episcopal Church']"
214,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,domestic tuition currency,P38,P2219,P3069,P8567,/domestic_tuition./measurement_unit/dated_money_value/currency,domestic tuition in United States dollars,domestic tuition in currency,"['Stony Brook University', 'United States dollar']","['Fairleigh Dickinson University', 'United States dollar']","['Fairfield University', 'United States dollar']"
215,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,nominated alongside,,/award/nominated_for,/award/nomination_nominee,/award/nominated_for,/award/award_nominee,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,"['Martin Freeman', 'Alan Rickman']","['Laura Carmichael', 'David Robb']","['Bob Ludwig', 'Radiohead']"
216,/music/performance_role/regular_performances./music/group_membership/group,played by musical groups,,/musical_group_member,/mu:regularPerformances/gm:memberOf,P463,regularly performs in the group,/music/group_membership/group,is a member of,"['organ', 'Plastic Ono Band']","['guitar', 'Hawkwind']","['drum kit', 'Deep Purple']"
217,/education/university/international_tuition./measurement_unit/dated_money_value/currency,international tuition currency,P38,P2082,/education/university/international_tuition_currency,educationalInstitution:tuitionCurrency,international tuition in pound sterling,international tuition in pound sterling,international tuition measured in dated money value currency.,"['Fitzwilliam College', 'pound sterling']","['Royal College of Music', 'pound sterling']","['Worcester College', 'pound sterling']"
218,/film/film/film_festivals,participated in film festival,P1344,filmFestival,filmFestival.,hasFilmFestival,participated_in,film festivals,/film/film/film_festivals,"['The Duchess', '2008 Toronto International Film Festival']","['13 Assassins', '2010 Toronto International Film Festival']","['A Dangerous Method', '2011 Toronto International Film Festival']"
219,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,gdp nominal currency,P38,P2131,/P38,P2131,The GDP nominal currency is United States dollar.,currency for nominal GDP measurements,/location/statistical_region/gdp_nominal_currency,"['San Marino', 'United States dollar']","['Illinois', 'United States dollar']","['United States Virgin Islands', 'United States dollar']"
220,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,cast alongside,P161,/saturday_night_live_season_tenure/cast_members,SNL_cast_member_season_tenure_cast_members,SNL_season_tenure_cast_members,SNL cast members throughout seasons,SNL cast members in season tenure,SNL cast member seasons.,"['Fred Armisen', 'Tina Fey']","['Kenan Thompson', 'Andy Samberg']","['Kenan Thompson', 'Bill Hader']"
221,/education/field_of_study/students_majoring./education/education/student,notable people in this field,P01_inv,P802,P802,P802,/education/field_of_study/students_majoring.,.students_majoring./education/education/student,students_majoring.,"['chemistry', 'William Pitt the Younger']","['Italian', 'Samuel Beckett']","['journalism', 'Brad Pitt']"
222,/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,gni per capita in ppp dollars currency,P38,P2131,P2131,P2131,GNI per capita in PPP dollars with currency United States dollar,/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,GNI per capita in PPP dollars currency,"['Argentina', 'United States dollar']","['United Kingdom', 'United States dollar']","['East Timor', 'United States dollar']"
223,/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months,seasonal months,,P8075,/localfood/seasonal_availability_months,P5597,produce_available in seasonal months,produce_available during seasonal_months,produce_available in April_prompts_May,"['August', 'May']","['July', 'June']","['June', 'April']"
224,/film/film_subject/films,main subject of film,P921_inv,subject films,instance/subject of,instance of,Films with subjects,"films about Sicilian Mafia, aviation, television, the Holocaust, trains, chess, feminism, World War I, pedophilia and aviation",films about various subjects,"['1924 Summer Olympics', 'Chariots of Fire']","['lesbian', '8 Women']","['serial killer', 'Frenzy']"
225,/soccer/football_team/current_roster./sports/sports_team_roster/position,position currenlty played on football team,,/sports/football_position/team,/soccer/position,current_roster_position,current roster position for,current roster position,current roster position,"['Football Club Molenbeek Brussels Strombeek', 'midfielder']","['AEK Larnaca F.C.', 'forward']","['El Salvador national football team', 'defender']"
226,/location/location/partially_contains,partially coincident with,P1382,hasPartialLocation,hasPartialLocation,contains??????,partially contains,partially contains,partially contains,"['Maryland', 'Blue Ridge Mountains']","['North America', 'United States of America']","['Croatia', 'Danube']"
227,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,sexual relationships,,P200.weoo,P31: Q7823184,/celebrities/romantic_partner,is in romantic relationship with,celebrity had romantic relationship with celebrity,romantic_relationships,"['Stevie Nicks', 'Joe Walsh']","['Dennis Rodman', 'Madonna']","['Nicole Kidman', 'Lenny Kravitz']"
228,/people/person/spouse_s./people/marriage/location_of_ceremony,place of marriage,P2842,locationOfMarriageCeremony,locationOfMarriageCeremony,locationOfCeremony,location of marriage ceremony,/location_of_ceremony.,location of marriage ceremony,"['John Lennon', 'Gibraltar']","['Joan Crawford', 'Ventura County']","['Amanda Peet', 'New York City']"
229,/base/culturalevent/event/entity_involved,participant,P710,participant,involved in,wikidata_property:involved_entity,involved in,involved in,involved in,"['Second Sino-Japanese War', 'Empire of Japan']","['Peninsular War', 'Enlightenment in Spain']","[""Hundred Years' War"", 'Kingdom of England']"
230,/organization/organization_member/member_of./organization/organization_membership/organization,member of organization,P463,organizationMembershipOrganization,instanceOfOrganizationMembershipOrganization,memberOfOrganizationMembershipOrganization,/member_of./organization/organization_membership/organization,member of organization.,is a member of,"['Antigua and Barbuda', 'World Bank']","['Albania', 'World Bank']","['Togo', 'African Development Bank']"
231,/base/locations/continents/countries_within,countries within this continent,P30_inv,countryWithin,locatedIn,P131,Countries within each continent.,"Countries within Europe are Austria, Spain.",countries within,"['Asia', 'Bahrain']","['Europe', 'Netherlands']","['Europe', 'Sweden']"
232,/location/country/official_language,official language,P37,officialLanguage,officialLanguageOf,officialLanguage,Country's official language.,Official language of the country.,Official language of the country.,"['Honduras', 'Spanish']","['Malta', 'English']","['Jordan', 'Arabic']"
233,/film/film/production_companies,production company,P272,productionCompany,produced by,producedBy,Production companies of films,Production companies for films,"""Film is produced by production company""","[""Monster's Ball"", 'Lionsgate']","['The Fast and the Furious: Tokyo Drift', 'Relativity Media']","[""Ocean's Twelve"", 'Warner Bros.']"
234,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,networth currency,P38,P2725,P2130:USD,net_worth.currency:USD,is in United States dollar,has net worth in.,Net worth is measured in United States dollars.,"['Kathy Griffin', 'United States dollar']","['T-Pain', 'United States dollar']","['Serj Tankian', 'United States dollar']"
235,/medicine/disease/notable_people_with_this_condition,notable people with this medical condition,P1050_inv,hasNotablePerson,hasNotablePerson,hasNotablePerson,notable_people_with_this_condition,Famous people with breast cancer,notable_people_with_this_condition,"[""Alzheimer's disease"", 'Glen Campbell']","['bipolar disorder', 'Frank Sinatra']","['multiple sclerosis', 'Bryan Forbes']"
236,/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,film appearance,,P1951,/film/personal_film_appearance_type,P31:Q44417428,personal appearance in interview,interview appearance,/personal_film_appearance/type_of_appearance,"['Ronnie Wood', 'interview']","['Mia Farrow', 'interview']","['Liv Ullmann', 'interview']"
